exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
6069;98.5844;4.17774;5.86775;0;0.1786621449054862;0.3392950149839325;0.481018380848201;0.6038697181549922;0.7144582899258943;0.8017988904205702;0.8679147968136929;0.915157457005874;0.9435092284929658;0.9534700684515258
6070;96.1861;9.68948;10.4897;0;0.1786621173960364;0.3392970448654229;0.4810157874990164;0.6042141739895721;0.7130111424169753;0.7927177108581951;0.858842288460312;0.9060839810719694;0.9344272996673222;0.9444181139912108
6071;84.8472;8.79644;6.87071;0;0.1786617567059058;0.3392873021783885;0.4810151183189091;0.6054893229517463;0.7070834036810707;0.7916802160479992;0.8578383930109622;0.9050792804832502;0.9334226109685678;0.9434134252775382
6072;84.07;5.32069;5.8546;0;0.178662113929;0.3392970781139746;0.4810282434395094;0.6059437035132897;0.7124899012099447;0.7971824368031996;0.8633415117981976;0.9105823860933676;0.9389257171002198;0.9489165314019568
6073;85.2881;9.51614;5.42717;0;0.1786617646160804;0.3392852599894766;0.4810192851856048;0.6049805927480965;0.707580783873451;0.7924749113973958;0.8586257275322109;0.9058666787520562;0.9342100093011068;0.9442008235946396
6074;98.4268;10.1146;13.4727;0;0.1786673856318448;0.3392771887113;0.4810241098683541;0.6044798309890608;0.717158674542465;0.7939721084099326;0.8600709065821112;0.907308185327499;0.935652939227235;0.9456445078308066
6075;82.2842;9.94056;6.34569;0;0.1786617402609411;0.3392881680199416;0.4810177893024482;0.6065257490452454;0.7081214468921283;0.7931430106382767;0.8592954196772553;0.9065366174969736;0.9348799464170306;0.9448707606413576
6076;80.8892;14.3256;11.3404;0;0.178667463907469;0.339292385657918;0.4810856757269719;0.6217446236618974;0.7415264663875965;0.8281996666228977;0.8943213213823002;0.9415715785116154;0.9699107583432008;0.9799023018681602
6077;84.7633;8.35323;10.2581;0;0.1786617610221935;0.3392858337306104;0.4810157521951168;0.607982577949725;0.7076036946259141;0.7911034534578048;0.8572656282982931;0.9045162193941224;0.9328595902248926;0.9428504037336108
6078;95.4065;7.78891;13.0628;0;0.1786621422909216;0.3392951633681465;0.4810102423990417;0.6051170244416453;0.7158457258706163;0.7915446214503391;0.8573802496559476;0.9046293703371844;0.9329709165257394;0.942961747501848
6079;91.7045;16.1415;12.1089;0;0.1786617532722874;0.3392871999795437;0.4810429842009626;0.6113649900497901;0.7481165155175814;0.8607099613786962;0.9268636972990474;0.9740975866134398;1.002454270084362;1.012441425198606
6080;85.2201;9.52328;12.6365;0;0.1786617819718258;0.3392850427534334;0.4810164444032686;0.6109930682903997;0.7090467868282804;0.7922435758871781;0.8583896645602049;0.905636620704864;0.9339793003903656;0.9439701154090366
6081;82.8236;2.91741;6.93923;0.00000000000000001387778780781446;0.1786353053526782;0.3392780384811444;0.4809407669033124;0.6138208730452194;0.7328570666718899;0.8179828286703889;0.8841286869520693;0.931370098635628;0.9597218845124784;0.9696827244870392
6082;89.4337;6.75715;5.85379;0;0.1786621403070988;0.3392950726850864;0.4810250068343164;0.6039379933639559;0.7093678920670002;0.7930665259105281;0.8592287998533732;0.9064793684442192;0.9348227393522748;0.9448135528644888
6083;94.8764;8.87946;6.09017;0;0.1786621372990782;0.3392949414222512;0.4810213196378372;0.6038465873275828;0.7091906897943238;0.7919017918754202;0.8580605265445016;0.9053015484934334;0.933644875069579;0.9436356894591956
