exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
2300;171.488;8.20307;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792829;0.858965;0.907988;0.937768;0.944223
2301;35.6081;16.1956;0.;0.178618;0.385219;0.570428;0.693308;0.797253;0.882292;0.948435;0.995677;1.02402;1.03401
2302;93.709;5.8319;0.;0.178662;0.339297;0.481008;0.604392;0.715393;0.796467;0.862594;0.909846;0.938189;0.94818
2303;44.1717;4.88315;0.;0.178637;0.345864;0.495173;0.616818;0.720785;0.805824;0.871967;0.919209;0.947548;0.95754
2304;88.9261;11.8864;0.;0.178667;0.339277;0.481009;0.608399;0.713904;0.801447;0.867566;0.914816;0.943155;0.953147
2305;44.4624;7.79619;0.;0.178644;0.342696;0.480844;0.601902;0.705866;0.790905;0.857048;0.90429;0.932629;0.942621
2306;144.285;2.73335;0.;0.178662;0.339295;0.481024;0.603861;0.707793;0.792814;0.866343;0.923932;0.95246;0.962416
2307;179.21;17.4338;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858976;0.905963;0.940105;0.963099
2308;93.7207;8.49959;0.;0.178662;0.339297;0.481015;0.604411;0.711518;0.79132;0.857458;0.9047;0.933044;0.943035
2309;118.116;5.00929;0.;0.178662;0.339295;0.48101;0.60385;0.707995;0.800676;0.865339;0.912383;0.940733;0.950723
2310;73.5658;6.16572;0.;0.178662;0.339283;0.481375;0.611154;0.710522;0.795541;0.861693;0.908934;0.937278;0.947268
2311;168.849;12.3036;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.79283;0.85898;0.908031;0.936579;0.94759
2312;12.9217;13.3597;0.;0.19752;0.371841;0.513568;0.636391;0.740338;0.825377;0.89152;0.938762;0.967101;0.977093
2313;167.458;11.5236;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792829;0.858972;0.909176;0.936063;0.946383
2314;72.9189;9.38592;0.;0.178662;0.339292;0.481868;0.607034;0.706958;0.792002;0.858153;0.905394;0.933737;0.943728
