exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
1480;44.7165;5.48986;11.1547;0;0.1786265534159408;0.3451869494287406;0.4915803540002018;0.6122146835795904;0.7161990979430239;0.8012383244733197;0.8673817660063462;0.9146236642776542;0.9429630711808244;0.9529546112245356
1481;137.238;6.66597;14.6401;0;0.1786621449229714;0.3392948078736718;0.4810095263303652;0.6038440705689935;0.7077731121444257;0.7945976807593371;0.8697585357167736;0.9076814557760388;0.9351092485899936;0.9451178203474462
1482;115.977;13.0634;13.2151;0;0.1786673855748833;0.3392772048708546;0.4810230083818716;0.603863005743621;0.7088173882351774;0.8034505444973413;0.8746983954460488;0.9224009432358276;0.9507347947266154;0.9607264370839244
1483;62.2708;6.26331;8.32527;0;0.1786691216303235;0.3392657451817304;0.484753014490083;0.6066413097833694;0.7099241099556431;0.7949764616618441;0.8611198131748778;0.9083617104604528;0.936701117401068;0.9466926574442664
1484;152.189;5.95897;15.6824;0;0.1786621469106338;0.3392947680442629;0.481024481444541;0.6038607266598071;0.7077941941434038;0.7928186067088058;0.8643901720432552;0.9169466568985192;0.9368246748523572;0.9465753062657124
1485;174.897;12.2524;5.07682;0;0.1786621467477687;0.3392947971632888;0.4810228159976671;0.6038435312312109;0.7077816127890751;0.7928281890250063;0.8589792997114132;0.9061848357053308;0.9358351391198134;0.9459786141552546
1486;136.338;13.8153;10.0127;0;0.1786673940466888;0.3392766003309142;0.4810106840209283;0.6038445924509031;0.7077987361940502;0.7928049595770735;0.8665660255130558;0.919912841297907;0.9483594100792492;0.9583468877497248
1487;69.9959;7.86525;4.56664;0;0.1786617991932271;0.3392970981033102;0.4808376265374212;0.6038657144625175;0.7067774393800104;0.791829653269702;0.8579808552145518;0.9052226043950666;0.9335620140550218;0.9435535541325622
1488;143.263;5.54833;8.75313;0;0.1786621469061257;0.3392947680352959;0.4810244815468913;0.6038607190208041;0.7077943572699004;0.7928422360008581;0.8627342094981169;0.9091645649280414;0.9369109321236444;0.94691215869485
1489;53.8621;14.6515;7.86197;0;0.178660398475495;0.3403243622567418;0.5024181300393691;0.6403870980727504;0.7442835184332391;0.8293211773619641;0.8954646604517301;0.9427065583985658;0.971045965299043;0.9810375053428438
1490;178.957;4.06736;5.51916;0;0.1786621467424225;0.3392947971532532;0.4810228159837162;0.603843531204055;0.7077816131540263;0.7928282028450259;0.8589743303311415;0.9062497584812468;0.936841790090182;0.946605140458244
1491;160.83;4.45306;12.6696;0;0.1786621449782062;0.3392947989441507;0.4810102467748864;0.6038550061031449;0.7077867792117642;0.792813413310942;0.8593378593514087;0.9140136346042116;0.9407364619555006;0.949959418940131
1492;80.4327;3.82702;9.08622;0;0.1786353291940245;0.3392605081009021;0.4810582877739437;0.6152948190039589;0.7265904433205674;0.8114680492015338;0.8776185505872259;0.9248598465665004;0.9532116319326154;0.9631724719460464
